title,ingredients,directions,link,source,NER,site
Cream Cheese Danish,"[""2 (8-ounce) cans refrigerated crescent rolls"", ""1 large egg, separated"", ""2 (8-ounce) packages cream cheese, softened"", ""1 cup sugar"", ""1 teaspoon lemon juice"", ""1 teaspoon vanilla extract"", ""3/4 cup chopped pecans"", ""Sifted powdered sugar""]","[""Preheat the oven to 375\u00b0. Unroll 1 can of rolls; press into a lightly greased 9\"" x 13\"" pan. Beat egg yolk, cream cheese, and next 3 ingredients at medium speed of an electric beater until blended; spread mixture over dough in pan."", ""Unroll remaining can of crescent rolls on a sheet of wax paper; press into a 9\"" x 13\"" rectangle. Place over cream cheese mixture. Whisk egg white; brush over dough. Sprinkle with pecans."", ""Bake at 375\u00b0 for 25 minutes. Sprinkle with powdered sugar, and cool in pan on a wire rack. Cut into squares.""]",www.myrecipes.com/recipe/cream-cheese-danish,Gathered,"[""egg"", ""sugar"", ""vanilla"", ""lemon juice"", ""powdered sugar"", ""pecans"", ""cream cheese"", ""crescent rolls""]",www.myrecipes.com
Preacher'S Casserole,"[""1 lb. hamburger"", ""2 c. chopped onions"", ""2 c. diced celery"", ""1 can tomato soup"", ""1 can mushroom soup"", ""1 1/4 c. water"", ""1 tsp. chili powder"", ""salt and pepper to taste"", ""2 c. rice noodles (reserve 1/4 c. for top)""]","[""Brown hamburger (round is less fatty).\tAdd onions and celery. Add tomato soup and mushroom soup, water, chili powder and salt and pepper. Mix in rice noodles. Put in 9 x 12 Pyrex casserole and add remaining noodles on top. Bake at 350\u00b0 for 45 minutes. Serves 8.""]",www.cookbooks.com/Recipe-Details.aspx?id=144390,Gathered,"[""chili powder"", ""mushroom soup"", ""tomato soup"", ""celery"", ""water"", ""onions"", ""rice noodles"", ""hamburger"", ""salt""]",www.cookbooks.com
Middle Eastern Beef Stew,"[""2 tablespoons extra virgin olive oil, divided"", ""1 1/2 lbs lean boneless beef chuck roast, cut into 1 inch pieces"", ""1 (14 1/2 ounce) can diced tomatoes, with peppers and onions, undrained"", ""1 (8 ounce) can green beans or 6 ounces fresh green beans, trimmed and broken into pieces"", ""1 cup onion, chopped"", ""1/2 teaspoon ground cinnamon"", ""1/4 teaspoon ground allspice (or cumin)"", ""1 1/2 teaspoons sugar"", ""1/4 teaspoon garlic powder"", ""1/2 teaspoon salt"", ""1/4 teaspoon black pepper""]","[""Brown half the beef in 2 teaspoons olive oil, and repeat with remaining beef and more oil."", ""Throw beef and the remaining ingredients into crock pot on low for 8 hours or high for 4 hours. My sister didn't have allspice when she made it, so she used cumin, which is fab!""]",www.food.com/recipe/middle-eastern-beef-stew-417092,Gathered,"[""sugar"", ""tomatoes"", ""black pepper"", ""extra virgin olive oil"", ""onion"", ""green beans"", ""ground allspice"", ""garlic"", ""ground cinnamon"", ""chuck roast"", ""salt""]",www.food.com
Cheese-Almond Rice,"[""1 (8 ounce) can sliced mushrooms, drained,liquid reserved"", ""2 teaspoons dried onion flakes"", ""13 cup almonds, chopped or sliced"", ""1 cup shredded cheddar cheese"", ""1 14 cups uncooked rice"", ""18 teaspoon pepper"", ""water"", ""3 beef bouillon cubes"", ""4 teaspoons soy sauce"", ""2 tablespoons chopped parsley"", ""2 tablespoons chopped pimiento""]","[""Combine drained mushrooms with onions, almonds, cheese, rice and pepper; turn into a greased 2-qt casserole."", ""Add water to the mushroom liquid to make 3 1/2 cups liquid; heat to the simmering point then add the bouillon cubes and soy sauce to the hot liquid and stir until cubes are dissolved; pour over rice mixture."", ""Cover and bake in a 375 oven for 45 minutes to 1 hour, or until liquid has been absorbed."", ""Stir in parsley and pimiento just before serving.""]",www.food.com/recipe/cheese-almond-rice-78756,Recipes1M,"[""pimiento"", ""pepper"", ""soy sauce"", ""cheddar cheese"", ""mushrooms"", ""water"", ""onion flakes"", ""parsley"", ""rice"", ""almonds""]",www.food.com
Ham Cups,"[""1 lb. ground smoked ham"", ""1/2 lb. ground lean pork"", ""1 1/2 c. soft fine bread crumbs"", ""1 well beaten egg"", ""1/2 tsp. dry mustard"", ""1/4 c. brown sugar"", ""1 tsp. prepared mustard""]","[""Combine first five ingredients and fill medium size muffin pans; round tops, meat loaf fashion."", ""Combine brown sugar and prepared mustard and spread over tops of cups."", ""Bake at 325\u00b0 for 1 hour.""]",www.cookbooks.com/Recipe-Details.aspx?id=576201,Gathered,"[""egg"", ""ground smoked ham"", ""brown sugar"", ""ground lean pork"", ""dry mustard"", ""mustard"", ""bread crumbs""]",www.cookbooks.com
Fruit Pie,"[""1 (14 oz.) can sweetened condensed milk"", ""1/4 c. lemon juice"", ""9 oz. Cool Whip"", ""1 (15 oz.) can sliced peaches"", ""1 (11 oz.) can mandarin oranges"", ""1 (8 oz.) can crushed pineapple"", ""1/2 c. coconut"", ""2 graham cracker crusts""]","[""Beat condensed milk and lemon juice by hand until stiff. Fold in Cool Whip. Add drained fruit and coconut. Pour into graham cracker crust and chill. Makes 2 pies. Can be frozen.""]",www.cookbooks.com/Recipe-Details.aspx?id=147770,Gathered,"[""condensed milk"", ""lemon juice"", ""graham cracker crusts"", ""coconut"", ""peaches"", ""mandarin oranges"", ""pineapple""]",www.cookbooks.com
Cream Cheese Brownies,"[""6 oz. cream cheese"", ""2 large eggs"", ""1/2 c. sugar"", ""2 Tbsp. flour"", ""2 Tbsp. butter, softened"", ""1/2 tsp. grated orange peel"", ""1 c. brown sugar, packed"", ""1/3 c. butter"", ""2 eggs"", ""2/3 c. flour"", ""1/3 c. cocoa powder"", ""1/2 tsp. each: salt and baking powder""]","[""Preheat oven to 350\u00b0."", ""In a small bowl, combine cream cheese, 2 eggs, 2 tablespoons of butter, sugar, 2 tablespoons of flour and grated peel until creamy."", ""Pour into greased 9 x 13-inch pan and set aside.""]",www.cookbooks.com/Recipe-Details.aspx?id=197225,Gathered,"[""sugar"", ""eggs"", ""brown sugar"", ""cream cheese"", ""flour"", ""butter"", ""cocoa powder"", ""salt""]",www.cookbooks.com
Grilled Eggplant Dip,"[""2 medium eggplants (about 2 pounds total)"", ""2 garlic cloves, finely chopped"", ""2 tablespoons tahini"", ""1 tablespoon fresh lemon juice"", ""1 tablespoon plain yogurt"", ""Salt and freshly ground pepper"", ""4 ounces soft goat cheese"", ""1 to 2 tablespoons coarsely chopped flat-leaf parsley""]","[""Light a grill or preheat the broiler."", ""Pierce the eggplant in several places with a fork and grill over a medium-low fire or broil as far from the heat as possible for 20 to 30 minutes, turning occasionally, until the eggplants are tender throughout when pierced."", ""Let cool slightly."", ""Halve the eggplants lengthwise and scoop the flesh into a food processor."", ""Add the garlic, tahini, lemon juice and yogurt and pulse to combine; season with salt and pepper."", ""Transfer the dip to a serving bowl and refrigerate until chilled, about 1 hour."", ""Top with the goat cheese, sprinkle with the chopped parsley and serve.""]",www.foodandwine.com/recipes/grilled-eggplant-dip,Recipes1M,"[""eggplants"", ""salt"", ""lemon juice"", ""tahini"", ""goat cheese"", ""flat-leaf parsley"", ""garlic"", ""plain yogurt""]",www.foodandwine.com
Smoked Sausage Jambalaya,"[""2 tablespoons olive oil"", ""1 12 lbs boneless skinless chicken thighs"", ""kosher salt & freshly ground black pepper"", ""1 lb smoked sausage, sliced into circles"", ""1 large vidalia onion, chopped"", ""1 green bell pepper, chopped"", ""2 celery ribs, chopped"", ""4 garlic cloves, chopped"", ""1 tablespoon chopped thyme"", ""2 cups long grain white rice"", ""2 tablespoons tomato paste"", ""1 (14 ounce) canfire-roasted diced tomatoes"", ""2 12 cups chicken broth"", ""1 dried bay leaf"", ""14 cup thinly sliced green onion"", ""3 tablespoons chopped fresh parsley""]","[""Heat the oil in a large Dutch oven over medium-high heat."", ""Season the chicken with salt and pepper."", ""Add chicken to the Dutch oven and brown on each side, about 8 minutes total."", ""Remove to a plate and reserve."", ""Add sausage, onion, bell pepper, celery, garlic, and thyme and saute until translucent and sausage is browned, about 8 minutes."", ""Stir in rice, tomato paste, diced tomatoes, broth, bay leaf, and reserved chicken, and bring to a boil, then reduce to a simmer, and cook on low, covered, for 20 minutes."", ""Turn off heat and let rice stand, covered, 5 minutes."", ""Remove bay leaf."", ""Fluff rice with fork and stir in green onions and parsley.""]",www.food.com/recipe/smoked-sausage-jambalaya-450826,Recipes1M,"[""green bell pepper"", ""tomato paste"", ""long grain white rice"", ""tomatoes"", ""chicken thighs"", ""green onion"", ""celery"", ""thyme"", ""vidalia onion"", ""chicken broth"", ""parsley"", ""kosher salt"", ""garlic"", ""sausage"", ""bay leaf"", ""olive oil""]",www.food.com
Million Dollar Pie,"[""1 can Eagle Brand milk"", ""1 large Cool Whip"", ""1 can crushed pineapple"", ""1 c. coconut"", ""1 c. chopped nuts"", ""1 can mandarin oranges""]","[""Mix all ingredients together."", ""Put in crust."", ""Chill for 1 hour."", ""Makes 2.""]",www.cookbooks.com/Recipe-Details.aspx?id=870371,Gathered,"[""nuts"", ""coconut"", ""milk"", ""mandarin oranges"", ""pineapple""]",www.cookbooks.com
Cranberry Clafouti,"[""1 tablespoon butter, or as needed"", ""1 (12 ounce) package fresh cranberries"", ""1 cup whole milk"", ""1 cup heavy whipping cream"", ""4 large eggs"", ""2 large egg yolks"", ""3/4 cup white sugar"", ""1/4 cup brandy-based orange liqueur (such as Grand Marnier(R))"", ""2 teaspoons vanilla extract"", ""1 pinch salt"", ""3 tablespoons all-purpose flour"", ""2 tablespoons confectioners' sugar, or as needed""]","[""Preheat oven to 375 degrees F (190 degrees C). Butter a 9x13-inch casserole dish."", ""Spread cranberries out in the bottom of the prepared casserole dish."", ""Whisk milk, cream, eggs, and egg yolks together in a bowl; add white sugar, orange liqueur, vanilla, and salt. Gradually add flour, whisking constantly. Pour egg mixture through a sieve over cranberries in casserole dish."", ""Bake in the preheated oven until cranberries are set and clafouti is set, about 45 minutes. Dust with confectioners' sugar.""]",www.allrecipes.com/recipe/235288/cranberry-clafouti/,Gathered,"[""egg yolks"", ""white sugar"", ""sugar"", ""vanilla"", ""eggs"", ""brandy-based orange liqueur"", ""all-purpose"", ""fresh cranberries"", ""heavy whipping cream"", ""milk"", ""butter"", ""salt""]",www.allrecipes.com
Poached Pears In Red Wine Sauce,"[""1 1/2 cups dry red wine"", ""1/2 cup orange juice"", ""1 cup sugar"", ""1/4 cup fresh lemon juice"", ""1 cinnamon stick"", ""4 bosc pears"", ""1/2 cup whipping cream Chilled"", ""1 tablespoon cognac"", ""1 tablespoon sugar""]","[""Combine wine, orange juice, sugar, lemon juice and cinnamon stick in large, heavy saucepan. Bring to boil over medium heat, stirring until sugar dissolves. Remove from heat."", ""Peel pears, leaving stems intact. Cut small slice off the bottom of each pear so it will stand upright. Arrange pears on their sides in saucepan."", ""Cover and simmer until pears are tender but still hold their shape, turning once, about 15 minutes per side. Using a slotted spoon, transfer pears to upright position in glass baking dish."", ""Boil cooking liquid until reduced to approximately 1/2 cup, about 9 minutes. Watch carefully to make sure liquid is not reduced too far. Pour into small bowl, cover and chill sauce and pears separately until cold, at least 2 hours or up to one day.*"", ""Beat cream in large bowl until soft peaks form. Add Cognac** and sugar and beat until stiff peaks form."", ""Transfer pears to upright position on serving plates. Spoon on red wine sauce and top with whipped cream.""]",www.yummly.com/recipe/Poached-Pears-In-Red-Wine-Sauce-1667670,Gathered,"[""sugar"", ""lemon juice"", ""cinnamon"", ""bosc pears"", ""orange juice"", ""cognac"", ""red wine"", ""whipping cream""]",www.yummly.com
Buffalo Chicken Dip ,"[""1 lb. grilled chicken breast, diced"", ""1 cup mayonaise"", ""1 cup ranch dressing"", ""1 cup cream cheese"", ""1 cup hot sauce""]","[""Mix all ingredients together and stir over medium low heat until melted together. Transfer to crock pot and enjoy!""]",www.epicurious.com/recipes/member/views/buffalo-chicken-dip-50000774,Gathered,"[""ranch dressing"", ""cream cheese"", ""mayonaise"", ""chicken"", ""hot sauce""]",www.epicurious.com
Broccoli Casserole,"[""1 medium onion, chopped"", ""1/4 stick melted margarine"", ""1 can cream of mushroom soup"", ""1 c. Cheddar cheese, grated"", ""1 c. mayonnaise"", ""1 large pkg. broccoli, thawed"", ""Cheez-Its crackers""]","[""Saute onion in margarine in a saucepan."", ""Add and warm to spreading consistency, the mushroom soup, grated cheese and mayonnaise."", ""Place broccoli in baking dish."", ""Pour soup mixture on top."", ""Crumble Cheez-Its crackers over top."", ""Bake, uncovered, at 375\u00b0 for 25 to 30 minutes, until bubbly.""]",www.cookbooks.com/Recipe-Details.aspx?id=333948,Gathered,"[""cream of mushroom soup"", ""cheddar cheese"", ""crackers"", ""onion"", ""margarine"", ""mayonnaise"", ""broccoli""]",www.cookbooks.com
Amazing Low Fat Turkey Fajitas,"[""1 (4 ounce) boneless turkey breast"", ""1 cup frozen stir fry bell pepper"", ""2 -3 peeled and chopped garlic cloves"", ""13 cup sliced mushrooms"", ""12 whole wheat pita bread"", ""12 cup canned black beans (as a side dish or can be added to pita) (optional)"", ""12 cup nonfat plain yogurt or 12 cup sour cream"", ""2 tablespoons your favorite salsa""]","[""Spray pan with non stick cooking spray."", ""Stir-fry turkey strips over medium heat until done."", ""Remove turkey from pan."", ""Add garlic, frozen stir fry peppers, and mushrooms and cook on medium heat until done."", ""Return the turkey back with veggies to heat."", ""Serve black beans heated as a side dish."", ""Stuff fajitas into wheat pita, add yogurt or sour cream and salsa."", ""You may also use any kind of your favorite seasonings on these tasty but low fat fajitas.""]",www.food.com/recipe/amazing-low-fat-turkey-fajitas-22776,Recipes1M,"[""black beans"", ""bell pepper"", ""whole wheat pita bread"", ""nonfat plain yogurt"", ""turkey breast"", ""mushrooms"", ""your favorite salsa"", ""garlic""]",www.food.com
"Broccoli, Cabbage and Kohlrabi Coleslaw With Quinoa","[""3 1/2 cups mixed shredded broccoli stems, green cabbage and kohlrabi (peel broccoli stems and kohlrabi before shredding) (about 3/4 pound)"", ""Salt to taste"", ""1/2 cup cooked quinoa"", ""2 tablespoons chopped fresh dill"", ""1/2 teaspoons nigella seeds (optional)"", ""3 tablespoons fresh lemon juice"", ""1 tablespoon seasoned rice vinegar"", ""2 teaspoons Dijon mustard"", ""2 tablespoons grapeseed or canola oil"", ""1/4 cup plain low-fat yogurt"", ""Freshly ground pepper"", ""1/2 cup low-fat cottage cheese (optional)""]","[""Toss the shredded vegetables with salt to taste and place in a strainer set over a bowl."", ""Refrigerate and let sit for 45 minutes to an hour."", ""Discard the water that accumulates in the bowl and squeeze the shredded vegetables to extract more water."", ""(Note: If you are on a no-sodium diet, omit this step)."", ""Transfer to a bowl and toss with the quinoa, dill and nigella seeds."", ""In a small bowl or measuring cup, mix together the lemon juice, rice vinegar, salt, pepper, Dijon mustard, oil and yogurt."", ""Toss with the shredded vegetables."", ""Add the cottage cheese to the salad and toss, or serve with the cottage cheese spooned on top."", ""Refrigerate in a bowl or in containers until ready to take to work.""]",cooking.nytimes.com/recipes/12276,Recipes1M,"[""quinoa"", ""salt"", ""lemon juice"", ""low-fat cottage cheese"", ""rice vinegar"", ""freshly ground pepper"", ""broccoli stems"", ""yogurt"", ""dill"", ""grapeseed"", ""mustard"", ""nigella seeds""]",cooking.nytimes.com
Chicken Lettuce Wraps,"[""2 pieces Boneless, Skinless Chicken Breasts"", ""4 Tablespoons Canola Oil, Divided"", ""1 cup (2 Servings) Minute Rice"", ""1 cup Water"", ""1 whole Carrot, Shredded"", ""3/4 cups Dry Roasted Peanuts"", ""3 Tablespoons Chopped Onions"", ""1 teaspoon Minced Garlic"", ""8 leaves Iceberg Or Bibb Lettuce"", ""1/2 cups Water"", ""1/4 cups Sugar"", ""1/4 cups Soy Sauce"", ""2 Tablespoons Vinegar"", ""2 Tablespoons Ketchup"", ""2 Tablespoons Brown Sugar"", ""1 Tablespoon Lemon Juice"", ""1 Tablespoon Spicy Mustard"", ""1 teaspoon Worcestershire"", ""1 teaspoon Minced Garlic"", ""1 dash Crushed Red Pepper""]","[""Heat a large frying pan or wok with 3 Tablespoons of oil on high heat and saute the chicken breasts."", ""Remove the chicken and cut into small, bite-size pieces."", ""Prepare the Minute Rice per package instructions (1 cup rice to 1 cup water)."", ""I like to do mine in the microwave for 6 minutes."", ""For the sauce, dissolve the sugar in water in a small bowl."", ""Add the remaining sauce ingredients and mix well."", ""In the hot pan/wok, add the remaining Tablespoon of oil, the diced chicken, shredded carrots, peanuts, chopped onion, minced garlic, rice, and stir in the sauce."", ""Saute for a couple of minutes and then serve in the lettuce leaves.""]",tastykitchen.com/recipes/main-courses/chicken-lettuce-wraps/,Recipes1M,"[""spicy mustard"", ""vinegar"", ""sugar"", ""chicken breasts"", ""soy sauce"", ""lemon juice"", ""brown sugar"", ""red pepper"", ""canola oil"", ""water"", ""bibb lettuce"", ""worcestershire"", ""onions"", ""carrot"", ""rice"", ""ketchup"", ""garlic"", ""peanuts""]",tastykitchen.com
Basic French Toast,"[""2 eggs, beaten slightly"", ""2/3 c. milk"", ""1/2 tsp. salt"", ""8 slices bread"", ""butter or oleo"", ""small amount sugar""]","[""Combine 1st 3 ingredients."", ""Dip bread in this mixture and brown each side on a well-buttered griddle or skillet."", ""Serve hot. May sprinkle with sugar.""]",www.cookbooks.com/Recipe-Details.aspx?id=253141,Gathered,"[""bread"", ""eggs"", ""milk"", ""amount sugar"", ""butter"", ""salt""]",www.cookbooks.com
Cherry Clafouti ,"[""1 pound fresh cherries, stemmed and pitted, or frozen pitted cherries, thawed, drained"", ""1 cup whole milk"", ""1/4 cup heavy whipping cream"", ""4 large eggs"", ""1/2 cup all-purpose flour"", ""1/2 cup sugar"", ""3/4 teaspoon finely grated lemon zest"", ""3/4 teaspoon vanilla extract"", ""1/2 teaspoon kosher salt"", ""Powdered sugar"", ""10\"" springform cake pan or eight 2/3 or 3/4-cup ramekins or custard cups""]","[""Preheat oven to 375\u00b0F. Butter cake pan or ramekins. Arrange cherries in a single layer in pan."", ""Combine milk and cream in a small saucepan; bring just to a simmer over medium heat. Set aside. Combine eggs, flour, sugar, lemon zest, vanilla, and salt in a medium bowl; whisk to blend. Gradually whisk in hot milk mixture; whisk until custard is smooth. Pour custard evenly over cherries in pan. If necessary, gently shake pan to allow custard to settle."", ""Bake clafouti until custard is set and top is golden brown, about 30 minutes for ramekins and 45-55 minutes for cake pan. Let cool 3 minutes, then run a knife around pan sides to loosen clafouti (if using a cake pan). Dust top with powdered sugar; cut into wedges and serve.""]",www.epicurious.com/recipes/food/views/cherry-clafouti-365670,Gathered,"[""sugar"", ""vanilla"", ""fresh cherries"", ""eggs"", ""lemon zest"", ""powdered sugar"", ""cake pan"", ""all-purpose"", ""heavy whipping cream"", ""kosher salt"", ""milk""]",www.epicurious.com
Crispy Grilled Kale And Pancetta Risotto,"[""About 3 tbsp. olive oil, divided"", ""1 teaspoon minced garlic"", ""3/4 teaspoon kosher salt, divided"", ""1/2 teaspoon pepper, divided"", ""1 small bunch (6 oz.) Tuscan kale, stems and coarse ribs removed"", ""1 ounce diced pancetta or thinly sliced speck* cut crosswise into 1/2-in.-wide ribbons"", ""2 cups Carnaroli or Arborio rice"", ""2 tablespoons finely chopped onion"", ""About 6 1/2 cups reduced-sodium chicken broth, heated until steaming"", ""1/2 cup mascarpone cheese"", ""1/3 cup chopped toasted walnuts"", ""2 tablespoons unsalted butter, cut into chunks"", ""1/4 cup chopped oil-and-vinegar-marinated or oil-packed dried tomatoes""]","[""Heat grill to medium (350\u00b0 to 450\u00b0). In a large bowl, mix 1 tbsp. oil, the garlic, and 1/4 tsp. each salt and pepper. Add kale and toss to coat well. Dump onto grill, quickly arrange in a single layer, and grill, turning once, until streaked brown, 3 to 5 minutes. Set aside to crisp up, then slice into ribbons about 1/2 in. wide and 3 to 4 in. long."", ""Brown pancetta in a medium saucepan over medium heat, about 4 minutes (if using speck, don't cook). With a slotted spoon, transfer pancetta to paper towels. Add enough oil to fat in pan to make 2 tbsp."", ""Add rice to pan, reduce heat to medium, and cook, stirring, until rice starts to toast slightly, 1 to 2 minutes. Add onion, 1/2 tsp. salt, and 1/4 tsp. pepper; cook until onion is softened, 2 to 3 minutes. Add enough broth to just cover rice; cook, stirring constantly, until liquid is absorbed. Continue adding broth to just cover rice and stirring until it's barely tender, 15 to 18 minutes. If needed, add more broth so risotto is loose-textured; it will thicken a bit as it stands."", ""Remove risotto from heat and loosely fold in pancetta, mascarpone, walnuts, butter, and tomatoes. Fold in most of kale and spoon into a serving dish. Top with remaining kale and serve immediately."", ""*You can buy speck on amazon.com"", ""Note: Nutritional analysis is per serving.""]",www.myrecipes.com/recipe/crispy-grilled-kale,Gathered,"[""pepper"", ""kale"", ""carnaroli"", ""onion"", ""pancetta"", ""chicken broth"", ""walnuts"", ""kosher salt"", ""mascarpone cheese"", ""chopped oil"", ""garlic"", ""olive oil"", ""unsalted butter""]",www.myrecipes.com
Crock Pot Freezer Meal Creamy Ranch Chicken,"[""1 can Cream of Celery Soup"", ""1 can Cream of Potato Soup"", ""8 Chicken Breast"", ""2 packets Ranch Dressing Mix""]","[""First off this makes TWO meals."", ""Combine both cream of soups and both ranch dressing packets in a mixing bowl."", ""Mix Well."", ""Divide mixture in half by placing one half of the mixture in your crock pot, and dump the remaing half of the mixture into an 1 gallon sized ziploc freezer bag."", ""Place 4 chicken breast into crock pot and add the other 4 chicken breast into the ziploc bag containing the ranch mixture."", ""Set crock pot setting to low and cook for 8 hours."", ""After chicken is cooked, shread, or cut into chunks."", ""Combine both cream of soups and both ranch dressing packets in a mixing bowl."", ""Mix Well."", ""Divide mixture between the two ziploc freezer bags."", ""Place 4 chicken breast into each bag containing the ranch mixture."", ""Seal and lable the freezer bags with the name of dish, date, and cooking time."", ""Freeze immediately!"", ""When you are ready to cook one of your freezer meals, you first need to thaw the meal in the refrigerator for 24 hours (I always place my bag in the refrigerator to thaw the day before I plan to make it)"", ""Once meal has thawed, simply dump contents of bag into crock pot."", ""Set crock pot to low and cook for 8 hours."", ""After chicken is cooked, shread, or cut into chunks.""]",cookpad.com/us/recipes/347196-crock-pot-freezer-meal-creamy-ranch-chicken,Recipes1M,"[""packets"", ""cream of celery soup"", ""chicken"", ""cream of potato soup""]",cookpad.com
Peach Soda Slush Recipe,"[""4 peaches, peeled & pitted"", ""1/2 c. club soda or possibly sparkling wine"", ""1 tbsp. frangelico or possibly amaretto"", ""1 c. crushed ice"", ""2 scoops vanilla ice cream""]","[""Puree peaches in blender container."", ""Add in club soda, frangelico and ice and blend well."", ""Freeze in ice cream maker till slushy."", ""(Or possibly turn into shallow container and freeze till solid, then process in blender till slushy.)"", ""Serve in chilled glasses, garnished with peach slices in skewers."", ""Makes 4 servings.""]",cookeatshare.com/recipes/peach-soda-slush-30497,Recipes1M,"[""frangelico"", ""club soda"", ""vanilla ice cream"", ""peaches"", ""crushed ice""]",cookeatshare.com
Tomato Bon Bons,"[""24 grape tomatoes, cored"", ""1 ounce Asiago cheese, cut into 24 small cubes"", ""3 eggs"", ""1 pound ground sausage"", ""1 cup flour"", ""Breading, recipe follows"", ""4 cups vegetable oil"", ""1 cup fresh tomato salsa"", ""1 cup ranch dressing"", ""1/2 seedless cucumber, minced"", ""1 cup shredded Asiago cheese"", ""1/2 cup yellow cornmeal"", ""1/2 cup breadcrumbs"", ""1 teaspoon kosher salt"", ""1 teaspoon granulated garlic"", ""1 teaspoon dry mustard"", ""1/4 teaspoon freshly ground black pepper"", ""Dash cayenne pepper""]","[""Stuff each of the tomatoes with a cube of Asiago cheese."", ""Beat 1 egg in a medium bowl."", ""Mix the sausage in until the egg is completely incorporated."", ""Lay a 12 by 12-inch piece of plastic wrap on your workspace."", ""Break off about 3/4 of an ounce of the sausage mixture and make a small pancake in the palm of your hand."", ""Put the stuffed tomato in the middle of the pancake and wrap the sausage around it, rolling it in your palms to create a meatball, making sure the entire tomato is covered with the sausage mixture."", ""Set it on the plastic wrap and continue with the remaining tomatoes."", ""Beat the 2 remaining eggs in a small bowl."", ""Put the flour and Breading in separate small bowls."", ""To set up your breading station, place the 3 bowls in this order: flour, egg, and breading mixture."", ""Lay another 12 by 12-inch piece of plastic wrap on your work space."", ""With one hand (the wet hand), place a bon bon into the flour."", ""With the other hand (the dry hand), roll it around gently until it is lightly coated."", ""Pick it up and place it into the egg bowl."", ""With your wet hand, roll it around gently until it is lightly coated with the egg."", ""Place it into the breading bowl."", ""With your dry hand, sprinkle some Breading over the bon bon, and then begin to gently roll it around to coat it."", ""Place it on the clean piece of plastic wrap."", ""Continue until all of the bon bons have been breaded."", ""If needed, you can roll the bon bons around gently in your clean dry hands to ensure that they're perfectly round."", ""Let sit while the oil is heating."", ""Using a candy thermometer, heat the oil to 350 degrees F in a pan that is deep enough that the bon bons will be completely submerged."", ""Fry the bon bons 6 at a time until they are completely golden, 5 to 7 minutes."", ""Drain on paper towels."", ""(The bon bons can be made ahead and warmed on a sheet pan in a 325 degree F oven for 5 to 7 minutes before serving.)"", ""Process the salsa and ranch dressing in a small food processor for about 30 seconds."", ""Pour into a bowl and stir in the cucumber."", ""Serve with the bon bons."", ""This recipe was provided by professional chefs and has been scaled down from a bulk recipe provided by a restaurant."", ""The Food Network Kitchens chefs have not tested this recipe, in the proportions indicated, and therefore, we cannot make any representation as to the results."", ""Mix all the ingredients well."", ""Makes 2 cups.""]",www.foodnetwork.com/recipes/tomato-bon-bons-recipe2.html,Recipes1M,"[""grape tomatoes"", ""ranch dressing"", ""cayenne pepper"", ""eggs"", ""breading"", ""freshly ground black pepper"", ""tomato salsa"", ""flour"", ""vegetable oil"", ""breadcrumbs"", ""cheese"", ""kosher salt"", ""cucumber"", ""garlic"", ""mustard"", ""ground sausage"", ""yellow cornmeal""]",www.foodnetwork.com
Calumet Sugar Cookies Recipe,"[""2 1/4 c. sifted flour"", ""1 1/2 tsp calumet baking pwdr"", ""1/2 tsp nutmeg"", ""1/2 c. butter"", ""1 c. sugar"", ""2 x Large eggs, well beaten grated rind, 1 lemon"", ""1 Tbsp. rich lowfat milk or possibly cream""]","[""Sift flour once, measure, add in baking pwdr and nutmeg, and sift together twice."", ""Cream butter thoroughly, add in sugar gradually, and cream together till light and fluffy."", ""Add in Large eggs, lemon rind and cream, and beat well."", ""Add in flour, a small amount at a time."", ""Beat after each addition till smooth."", ""Roll into thin sheet on slightly floured board."", ""Cut with floured cooky cutter and dredge with sugar."", ""Bake in warm oven (425 degrees) 7 min."", ""Makes 2 1/2 dozen 3\"" cookies."", ""They may be cut in fancy shapes.""]",cookeatshare.com/recipes/calumet-sugar-cookies-98116,Recipes1M,"[""baking pwdr"", ""sugar"", ""nutmeg"", ""eggs"", ""flour"", ""rich lowfat milk"", ""butter""]",cookeatshare.com
English Muffin Loaves,"[""5 cups all-purpose flour, divided"", ""2 packages (1/4 ounce each) active dry yeast"", ""2 tablespoons sugar"", ""2 teaspoons ground cinnamon"", ""1 teaspoon salt"", ""1/4 teaspoon baking soda"", ""1-1/2 cups warm orange juice (120\u00b0 to 130\u00b0)"", ""1/2 cup warm water (120\u00b0 to 130\u00b0)"", ""1/4 cup vegetable oil"", ""1/2 cup chopped pecans"", ""1/2 cup chopped dried apricots"", ""Cornmeal""]","[""In a bowl, combine 2 cups flour, yeast, sugar, cinnamon, salt and baking soda. Add orange juice, water and oil; beat on low speed until moistened. Beat on high for 3 minutes. Stir in the pecans, apricots and remaining flour to form a stiff batter. Do not knead."", ""Greased two 8x4-in. loaf pans; sprinkle with cornmeal. Spoon batter into pans; sprinkle with cornmeal. Cover and let rise in a warm place until doubled, about 45 minutes."", ""Bake at 350\u00b0 for 35-40 minutes or until golden brown. Immediately remove from pans to cool on wire racks. Slice and toast.""]",www.tasteofhome.com/recipes/english-muffin-loaves/,Gathered,"[""apricots"", ""sugar"", ""warm water"", ""active dry yeast"", ""baking soda"", ""pecans"", ""flour"", ""orange juice"", ""cornmeal"", ""ground cinnamon"", ""vegetable oil"", ""salt""]",www.tasteofhome.com
